train_id,time_pa,stop_pa
102,05:53,1
104,06:23,1
206,06:59,1
208,07:20,1
210,07:28,1
312,07:38,1
314,07:53,1
216,08:05,1
218,08:20,1
220,08:28,1
322,08:38,1
324,08:53,1
226,09:05,1
228,09:20,1
230,09:28,1
332,09:38,1
134,10:05,1
236,10:27,1
138,11:05,1
142,12:05,1
146,13:05,1
150,14:05,1
152,15:05,1
254,15:27,1
156,16:05,1
258,16:27,1
360,16:46,1
262,17:03,1
264,17:10,0
366,17:14,1
268,17:40,1
370,17:51,1
272,18:04,1
274,18:10,0
376,18:14,1
278,18:40,1
380,18:51,1
282,19:04,1
284,19:10,0
386,19:14,1
288,19:40,1
190,20:28,1
192,21:38,1
194,22:38,1
196,23:38,1
101,05:01,1
103,05:36,1
305,06:05,1
207,06:36,1
309,06:23,1
211,06:40,0
313,07:05,1
215,07:16,1
217,07:36,1
319,07:23,1
221,07:40,0
323,08:05,1
225,08:16,1
227,08:36,1
329,08:25,1
231,08:50,0
233,09:14,1
135,09:46,1
237,10:21,1
139,10:46,1
143,11:41,1
147,12:41,1
151,13:41,1
155,14:46,1
257,15:11,1
159,15:38,1
261,16:16,1
263,16:24,1
365,16:43,1
267,16:54,1
269,17:16,1
371,17:06,1
273,17:26,1
375,17:44,1
277,17:54,1
279,18:16,1
381,18:06,1
283,18:24,1
385,18:43,1
287,18:54,1
289,19:10,1
191,19:21,1
193,20:01,1
195,21:01,1
197,22:01,1
199,23:01,1